CHROM	pos	WEIGHTED_FST	GROUP	POS
15	2025000	0.0403946	group_1	2.025
15	2100000	0.0344861	group_1	2.1
15	2175000	0.0474695	group_1	2.175
15	2250000	0.0508545	group_1	2.25
15	2325000	0.0201141	group_1	2.325
15	2400000	0.0594343	group_1	2.4
15	2475000	0.0729399	group_1	2.475
15	2550000	0.0440884	group_1	2.55
15	2625000	0.0683663	group_1	2.625
15	2700000	0.0900278	group_1	2.7
15	2775000	0.0748865	group_1	2.775
15	2850000	0.0477606	group_1	2.85
15	2925000	0.0315669	group_1	2.925
15	3e+06	0.0488535	group_1	3
15	3075000	0.0797627	group_1	3.075
15	3150000	0.115225	group_1	3.15
15	3225000	0.13065	group_1	3.225
15	3300000	0.0751801	group_1	3.3
15	3375000	0.0370467	group_1	3.375
15	3450000	0.0426063	group_1	3.45
15	3525000	0.0317838	group_1	3.525
15	3600000	0.0125141	group_1	3.6
15	3675000	0.018783	group_1	3.675
15	3750000	0.0359036	group_1	3.75
15	3825000	0.0377984	group_1	3.825
15	3900000	0.0339873	group_1	3.9
15	3975000	0.0192212	group_1	3.975
15	4050000	0.0176621	group_1	4.05
15	4125000	0.031512	group_1	4.125
15	4200000	0.0591736	group_1	4.2
15	4275000	0.0942983	group_1	4.275
15	4350000	0.0936009	group_1	4.35
15	4425000	0.0585543	group_1	4.425
15	4500000	0.0362417	group_1	4.5
15	4575000	0.0118377	group_1	4.575
15	4650000	0.0182738	group_1	4.65
15	4725000	0.0357223	group_1	4.725
15	4800000	0.0381447	group_1	4.8
15	4875000	0.0421921	group_1	4.875
15	4950000	0.0409255	group_1	4.95
15	5025000	0.0276868	group_1	5.025
15	5100000	0.0323743	group_1	5.1
15	5175000	0.044362	group_1	5.175
15	5250000	0.0369047	group_1	5.25
15	5325000	0.017248	group_1	5.325
15	5400000	0.0321546	group_1	5.4
15	5475000	0.0311617	group_1	5.475
15	5550000	0.034696	group_1	5.55
15	5625000	0.0351882	group_1	5.625
15	5700000	0.0521518	group_1	5.7
15	5775000	0.0534959	group_1	5.775
15	5850000	0.0147252	group_1	5.85
15	5925000	0.0195038	group_1	5.925
15	6e+06	0.0269504	group_1	6
15	2025000	0.0310987	group_2	2.025
15	2100000	0.031721	group_2	2.1
15	2175000	0.0318253	group_2	2.175
15	2250000	0.026707	group_2	2.25
15	2325000	0.00788669	group_2	2.325
15	2400000	0.0228783	group_2	2.4
15	2475000	0.0431474	group_2	2.475
15	2550000	0.0390801	group_2	2.55
15	2625000	0.0379955	group_2	2.625
15	2700000	0.0507903	group_2	2.7
15	2775000	0.0628962	group_2	2.775
15	2850000	0.0452619	group_2	2.85
15	2925000	0.0216515	group_2	2.925
15	3e+06	0.0230202	group_2	3
15	3075000	0.0222832	group_2	3.075
15	3150000	0.0317784	group_2	3.15
15	3225000	0.0513285	group_2	3.225
15	3300000	0.0393341	group_2	3.3
15	3375000	0.0184454	group_2	3.375
15	3450000	0.0238845	group_2	3.45
15	3525000	0.025669	group_2	3.525
15	3600000	0.042687	group_2	3.6
15	3675000	0.0490601	group_2	3.675
15	3750000	0.194862	group_2	3.75
15	3825000	0.2959	group_2	3.825
15	3900000	0.280701	group_2	3.9
15	3975000	0.377379	group_2	3.975
15	4050000	0.400128	group_2	4.05
15	4125000	0.470844	group_2	4.125
15	4200000	0.507436	group_2	4.2
15	4275000	0.457028	group_2	4.275
15	4350000	0.366073	group_2	4.35
15	4425000	0.246342	group_2	4.425
15	4500000	0.122924	group_2	4.5
15	4575000	0.0548767	group_2	4.575
15	4650000	0.045445	group_2	4.65
15	4725000	0.0405114	group_2	4.725
15	4800000	0.0519537	group_2	4.8
15	4875000	0.0543044	group_2	4.875
15	4950000	0.0540134	group_2	4.95
15	5025000	0.0699561	group_2	5.025
15	5100000	0.0377884	group_2	5.1
15	5175000	0.021121	group_2	5.175
15	5250000	0.0148431	group_2	5.25
15	5325000	0.00735771	group_2	5.325
15	5400000	0.0277463	group_2	5.4
15	5475000	0.0299291	group_2	5.475
15	5550000	0.0303624	group_2	5.55
15	5625000	0.0274099	group_2	5.625
15	5700000	0.040486	group_2	5.7
15	5775000	0.0310081	group_2	5.775
15	5850000	0.00771514	group_2	5.85
15	5925000	0.00827528	group_2	5.925
15	6e+06	0.00589146	group_2	6
15	2025000	0.0317657	group_3	2.025
15	2100000	0.0279026	group_3	2.1
15	2175000	0.0487335	group_3	2.175
15	2250000	0.0608039	group_3	2.25
15	2325000	0.0142534	group_3	2.325
15	2400000	0.0531155	group_3	2.4
15	2475000	0.0901201	group_3	2.475
15	2550000	0.0606418	group_3	2.55
15	2625000	0.0790041	group_3	2.625
15	2700000	0.115969	group_3	2.7
15	2775000	0.106536	group_3	2.775
15	2850000	0.0700881	group_3	2.85
15	2925000	0.0448357	group_3	2.925
15	3e+06	0.0521742	group_3	3
15	3075000	0.0561482	group_3	3.075
15	3150000	0.0561895	group_3	3.15
15	3225000	0.0539912	group_3	3.225
15	3300000	0.017801	group_3	3.3
15	3375000	0.0290773	group_3	3.375
15	3450000	0.0328757	group_3	3.45
15	3525000	0.0412978	group_3	3.525
15	3600000	0.0447857	group_3	3.6
