genotype	variable	value
G	AL	0.106383
A	AL	0.893617
G	AW	0.9
A	AW	0.1
G	BAR	0.1
A	BAR	0.9
G	BAY	0.0625
A	BAY	0.9375
G	BL	0.9
A	BL	0.1
G	Bs	0.555556
A	Bs	0.444444
G	Cele	0.555556
A	Cele	0.444444
G	DP	0.875
A	DP	0.125
G	EF	1
A	EF	0
G	Ht	0.75
A	Ht	0.25
G	Hu	0.25
A	Hu	0.75
G	Karakul	0.111111
A	Karakul	0.888889
G	Kazakh	0.3
A	Kazakh	0.7
G	LH	0.357143
A	LH	0.642857
G	LL	0.166667
A	LL	0.833333
G	MG	0.1
A	MG	0.9
G	ML	0.928571
A	ML	0.0714286
G	OL	0.777778
A	OL	0.222222
G	PD	0.8
A	PD	0.2
G	PT	0.958333
A	PT	0.0416667
G	SA	0.9
A	SA	0.1
G	ST	0.0714286
A	ST	0.928571
G	STH	0.3
A	STH	0.7
G	TE	0.85
A	TE	0.15
G	TY	0.0555556
A	TY	0.944444
G	UJ	0.0555556
A	UJ	0.944444
G	Va	0.944444
A	Va	0.0555556
G	WS	0.769231
A	WS	0.230769
